date,user_id,step,page,event
2020-01-21,38,0,homepage/events/info-taster-session-events/,10
2020-01-21,38,1,homepage/courses/psd/thank-you-syllabus-download/,10
2020-01-21,38,2,homepage/glasgow/,10
2019-10-07,40,0,homepage/courses/,NA
2019-10-07,40,1,homepage/da-announcement/,NA
2019-10-07,40,2,homepage/,NA
2019-10-07,40,3,homepage/courses/psd/,NA
2019-10-21,42,0,homepage/,NA
2019-10-21,42,1,homepage/events/info-taster-session-events/,NA
2019-10-21,42,2,homepage/events/info-taster-session-events/,NA
2020-01-30,43,0,homepage/the-codeclan-experience/a-typical-day/,NA
2020-01-30,43,1,homepage/events/info-taster-session-events/,NA
2019-10-14,45,0,homepage/courses/psd/,NA
2019-10-14,45,1,homepage/courses/psd/cost-and-funding/,NA
2019-10-14,45,2,homepage/events/,NA
2019-10-14,45,3,homepage/events/,NA
2019-09-09,48,0,homepage/,NA
2019-09-09,48,1,homepage/edinburgh/,NA
2019-09-09,48,2,homepage/events/info-taster-session-events/,NA
2019-09-09,48,3,homepage/the-codeclan-experience/a-typical-day/,NA
2019-09-24,50,0,homepage/events/info-taster-session-events/,NA
2019-09-24,50,1,homepage/courses/psd/,NA
2019-09-24,50,2,homepage/for-employers/employer-case-studies/,NA
2019-09-24,50,3,homepage/,NA
2020-01-06,51,0,homepage/events/info-taster-session-events/,NA
2020-01-06,51,1,homepage/da-announcement/,NA
2020-01-06,51,2,homepage/courses/psd/,NA
2019-09-01,54,0,homepage/courses/,NA
2019-09-02,56,0,homepage/events/info-taster-session-events/,NA
2019-09-24,58,0,homepage/da-announcement/apply-for-da/,NA
2019-11-07,60,0,homepage/inverness/,10
2020-02-06,62,0,homepage/courses/psd/cost-and-funding/,NA
2020-02-26,64,0,homepage/events/edinburgh/,NA
2020-02-12,66,0,homepage/da-announcement/,10
2020-02-12,66,1,homepage/courses/,10
2020-02-29,68,0,homepage/courses/psd/apply/,NA
2020-02-29,68,1,homepage/courses/psd/apply/,NA
2020-02-29,68,2,homepage/events/glasgow/,NA
2020-02-04,70,0,homepage/events/info-taster-session-events/,10
2020-02-04,70,1,homepage/,10
2019-09-02,72,0,homepage/events/edinburgh/,NA
2019-09-02,72,1,homepage/,NA
2019-10-11,74,0,homepage/,NA
2019-10-11,74,1,homepage/events/info-taster-session-events/,NA
2019-10-11,74,2,homepage/,NA
2020-01-17,76,0,homepage/events/info-taster-session-events/,10
2020-01-17,76,1,homepage/events/info-taster-session-events/,10
2020-01-17,76,2,homepage/events/glasgow/,10
2020-01-17,76,3,homepage/,10
2020-01-31,78,0,homepage/courses/understanding-programming/,NA
2020-01-31,78,1,homepage/events/info-taster-session-events/,NA
2020-01-31,78,2,homepage/glasgow/,NA
2020-01-31,78,3,homepage/events/edinburgh/,NA
2020-02-25,80,0,homepage/events/info-taster-session-events/,NA
2020-02-25,80,1,homepage/courses/full-stack-web-development/cost-and-funding/,NA
2020-02-25,80,2,homepage/events/info-taster-session-events/,NA
2020-02-25,80,3,homepage/,NA
2020-02-28,82,0,homepage/courses/edinburgh/,NA
2020-02-28,82,1,homepage/events/edinburgh/,NA
2020-02-28,82,2,homepage/inverness/,NA
2019-10-07,84,0,homepage/events/info-taster-session-events/,NA
2019-10-07,84,1,homepage/glasgow/,NA
2019-10-07,84,2,homepage/,NA
2019-10-07,84,3,homepage/events/info-taster-session-events/,NA
