date,user_id,step,page
2020-01-21,38,0,/events/info-taster-session-events/
2020-01-21,38,1,/events/info-taster-session-events/
2020-01-21,38,2,/courses/
2019-10-07,40,0,/events/info-taster-session-events/
2019-10-07,40,1,/about-us/our-team/
2019-10-07,40,2,/glasgow/
2019-10-07,40,3,/events/info-taster-session-events/
2019-10-21,42,0,/courses/browse-all-course-dates/
2019-10-21,42,1,homepage
2019-10-21,42,2,homepage
2020-01-30,43,0,/for-employers/upskill-your-staff/
2020-01-30,43,1,/events/info-taster-session-events/
2019-10-14,45,0,/events/info-taster-session-events/
2019-10-14,45,1,/events/glasgow/
2019-10-14,45,2,/da-announcement/
2019-10-14,45,3,/digital-careers/test-engineer/
2019-09-09,48,0,/events/info-taster-session-events/
2019-09-09,48,1,/da-announcement/
2019-09-09,48,2,homepage
2019-09-09,48,3,/courses/psd/
2019-09-24,50,0,/for-employers/upskill-your-staff/
2019-09-24,50,1,/events/edinburgh/
2019-09-24,50,2,/events/info-taster-session-events/
2019-09-24,50,3,/events/info-taster-session-events/
2020-01-06,51,0,/courses/
2020-01-06,51,1,homepage
2020-01-06,51,2,homepage
2019-09-01,54,0,/events/info-taster-session-events/
2019-09-02,56,0,/events/info-taster-session-events/
2019-09-24,58,0,/events/info-taster-session-events/
2019-11-07,60,0,/courses/psd/
2020-02-06,62,0,/events/edinburgh/
2020-02-26,64,0,/events/info-taster-session-events/
2020-02-12,66,0,/events/
2020-02-12,66,1,/events/info-taster-session-events/
2020-02-29,68,0,/courses/
2020-02-29,68,1,/digital-careers/test-engineer/
2020-02-29,68,2,/courses/
2020-02-04,70,0,/courses/psd/
2020-02-04,70,1,/events/info-taster-session-events/
2019-09-02,72,0,/courses/psd/
2019-09-02,72,1,/courses/
2019-10-11,74,0,/events/info-taster-session-events/
2019-10-11,74,1,/events/info-taster-session-events/
2019-10-11,74,2,/events/info-taster-session-events/
2020-01-17,76,0,/events/info-taster-session-events/
2020-01-17,76,1,/courses/psd/curriculum/
2020-01-17,76,2,/events/other-events/
2020-01-17,76,3,/courses/psd/
2020-01-31,78,0,/events/info-taster-session-events/
2020-01-31,78,1,/courses/psd/
2020-01-31,78,2,/the-codeclan-experience/the-alumni/
2020-01-31,78,3,/events/info-taster-session-events/
2020-02-25,80,0,/events/info-taster-session-events/
2020-02-25,80,1,homepage
2020-02-25,80,2,/events/info-taster-session-events/
2020-02-25,80,3,/events/info-taster-session-events/
2020-02-28,82,0,/events/info-taster-session-events/
2020-02-28,82,1,/courses/
2020-02-28,82,2,/events/info-taster-session-events/
2019-10-07,84,0,/events/edinburgh/
2019-10-07,84,1,/courses/
2019-10-07,84,2,/events/info-taster-session-events/
2019-10-07,84,3,/events/info-taster-session-events/
2019-10-07,86,0,/courses/edinburgh/
2019-10-07,86,1,/events/
2019-10-07,86,2,/events/info-taster-session-events/
2019-10-07,86,3,/events/
2019-09-06,88,0,homepage
2019-09-06,88,1,/courses/psd/
2019-09-06,88,2,/events/info-taster-session-events/
2019-10-21,90,0,/events/info-taster-session-events/
2019-10-21,90,1,/courses/psd/curriculum/
2019-10-21,90,2,homepage
2019-10-21,90,3,/events/info-taster-session-events/
2019-09-06,92,0,/courses/psd/
2019-09-06,92,1,/glasgow/
2019-10-21,94,0,homepage
2019-10-21,94,1,/courses/
2019-09-30,96,0,/events/info-taster-session-events/
2019-09-30,96,1,homepage
2019-09-30,96,2,/courses/da/apply/
2019-09-18,98,0,/events/
2019-09-18,98,1,homepage
2019-09-18,98,2,homepage
2019-09-18,98,3,homepage
2019-11-04,100,0,/da-announcement/apply-for-da/
2019-11-04,100,1,/events/info-taster-session-events/
2019-11-04,100,2,homepage
2019-11-04,100,3,/events/glasgow/
2019-10-01,102,0,/blog/category/whats-new/
2019-10-01,102,1,/events/glasgow/
2019-10-01,102,2,homepage
2019-10-01,102,3,/glasgow/
2019-09-18,104,0,homepage
2019-09-18,104,1,/da-announcement/cost-and-funding/
2019-10-23,106,0,/events/info-taster-session-events/
2019-10-23,106,1,/courses/da/application-process/
2019-11-05,108,0,/events/glasgow/
2019-11-05,108,1,/events/info-taster-session-events/
2020-02-21,110,0,/events/info-taster-session-events/
2020-02-21,110,1,/Glasgow/
2020-02-21,110,2,/courses/psd/
2020-02-21,110,3,/events/info-taster-session-events/
2019-09-06,112,0,/courses/psd/
2019-09-06,112,1,/events/info-taster-session-events/
2019-09-08,114,0,/events/info-taster-session-events/
2019-09-08,114,1,/courses/psd/
2019-09-09,116,0,/da-announcement/
2019-09-09,116,1,/courses/glasgow/
2019-09-10,118,0,/courses/edinburgh/
2019-09-10,118,1,/events/
2019-09-10,120,0,/events/glasgow/
2019-09-10,120,1,/events/info-taster-session-events/
2019-09-17,122,0,homepage
2019-09-17,122,1,/events/info-taster-session-events/
2019-10-01,124,0,/about-us/our-team/
2019-10-01,124,1,homepage
2019-10-06,126,0,/courses/psd/thank-you-syllabus-download/
2019-10-06,126,1,/events/info-taster-session-events/
2019-10-08,128,0,homepage
2019-10-08,128,1,/events/info-taster-session-events/
2019-10-15,130,0,homepage
2019-10-15,130,1,/courses/full-stack-web-development/
2019-11-06,132,0,/events/edinburgh/
2019-11-06,132,1,/events/info-taster-session-events/
2020-01-20,134,0,/events/info-taster-session-events/
2020-01-20,134,1,/courses/psd/cost-and-funding/
2020-02-05,136,0,/events/info-taster-session-events/
2020-02-05,136,1,/events/
2019-09-02,138,0,/events/glasgow/
2019-09-02,138,1,homepage
2019-09-02,138,2,/events/info-taster-session-events/
2019-09-10,140,0,/events/info-taster-session-events/
2019-09-10,140,1,/courses/psd/thank-you-syllabus-download/
2019-09-10,140,2,/courses/understanding-programming/
2019-09-18,142,0,/courses/psd/cost-and-funding/
2019-09-18,142,1,/courses/understanding-programming/
2019-09-18,142,2,/events/info-taster-session-events/
2019-09-21,144,0,/courses/full-stack-web-development/
2019-09-21,144,1,/events/info-taster-session-events/
2019-09-21,144,2,/events/info-taster-session-events/
2019-09-27,146,0,/glasgow/
2019-09-27,146,1,/da-announcement/apply-for-da/da_application_2
2019-09-27,146,2,/courses/psd/cost-and-funding/
2019-09-28,148,0,/courses/psd/
2019-09-28,148,1,/events/
2019-09-28,148,2,homepage
2019-09-29,150,0,/da-announcement/
2019-09-29,150,1,/courses/psd/
2019-09-29,150,2,/glasgow/
2019-10-04,152,0,/courses/psd/career-support/
2019-10-04,152,1,/events/info-taster-session-events/
2019-10-04,152,2,homepage
2019-10-04,154,0,/courses/psd/thank-you-syllabus-download/
2019-10-04,154,1,/courses/
2019-10-04,154,2,/events/info-taster-session-events/
2019-10-10,156,0,/events/info-taster-session-events/
2019-10-10,156,1,/events/info-taster-session-events/
2019-10-10,156,2,/events/info-taster-session-events/
2019-10-11,158,0,homepage
2019-10-11,158,1,/courses/psd/
2019-10-11,158,2,/events/info-taster-session-events/
2019-10-12,160,0,/courses/psd/
2019-10-12,160,1,/events/info-taster-session-events/
2019-10-12,160,2,/events/info-taster-session-events/
2019-10-19,162,0,homepage
2019-10-19,162,1,homepage
2019-10-19,162,2,homepage
2019-10-22,164,0,/courses/psd/curriculum/
2019-10-22,164,1,/events/info-taster-session-events/
2019-10-22,164,2,/courses/psd/
2019-10-30,166,0,/courses/da/apply/
2019-10-30,166,1,/events/glasgow/
2019-10-30,166,2,/events/info-taster-session-events/
2019-11-01,168,0,/events/info-taster-session-events/
2019-11-01,168,1,/da-announcement/
2019-11-01,168,2,/events/glasgow/
2019-11-05,170,0,/da-announcement/
2019-11-05,170,1,homepage
2019-11-05,170,2,/da-announcement/
2019-11-05,172,0,/events/
2019-11-05,172,1,/courses/psd/
2019-11-05,172,2,homepage
2019-11-05,174,0,homepage
2019-11-05,174,1,/events/info-taster-session-events/
2019-11-05,174,2,/courses/inverness/
2019-11-06,176,0,/courses/
2019-11-06,176,1,homepage
2019-11-06,176,2,/events/info-taster-session-events/
2019-11-06,178,0,/events/info-taster-session-events/
2019-11-06,178,1,/courses/
2019-11-06,178,2,/events/info-taster-session-events/
2019-11-07,180,0,homepage
2019-11-07,180,1,/events/edinburgh/
2019-11-07,180,2,/events/info-taster-session-events/
2019-11-11,182,0,/events/info-taster-session-events/
2019-11-11,182,1,/da-announcement/
2019-11-11,182,2,/courses/
2019-09-29,184,0,/blog/melindas-memo-october-2019/
2019-09-29,184,1,/events/info-taster-session-events/
2019-09-29,184,2,/courses/edinburgh/
